FareType	DollarFare	PointsFare
LOWEST	165.21	0
POINTS	165.21	11200
LOWEST	76.2	0
POINTS	76.2	4600
LOWEST	178.2	0
POINTS	178.2	13200
LOWEST	607.2	0
POINTS	504.2	42700
LOWEST	198.2	0
POINTS	198.2	13700
LOWEST	448.2	0
POINTS	448.2	45700
LOWEST	221.2	0
POINTS	221.2	18000
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	148.2	0
POINTS	148.2	10000
LOWEST	218.2	0
POINTS	218.2	19500
LOWEST	348.98	0
POINTS	348.98	26800
LOWEST	245.2	0
POINTS	245.2	17200
LOWEST	218.2	0
POINTS	218.2	19500
LOWEST	168.2	0
POINTS	168.2	11500
LOWEST	539.1	0
POINTS	539.1	49200
LOWEST	195.2	0
POINTS	195.2	13500
LOWEST	338.21	0
POINTS	338.21	28200
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	585.2	0
POINTS	540.2	45800
LOWEST	395.2	0
POINTS	395.2	33200
LOWEST	184.2	0
POINTS	184.2	12600
LOWEST	256.2	0
POINTS	256.2	18000
LOWEST	328.2	0
POINTS	328.2	27400
LOWEST	450.2	0
POINTS	450.2	38000
LOWEST	183.2	0
POINTS	183.2	14700
LOWEST	806.7	0
POINTS	806.7	88300
LOWEST	113.2	0
POINTS	113.2	7400
LOWEST	216.2	0
POINTS	216.2	17600
POINTS	174.2	11900
LOWEST	558.1	0
POINTS	558.1	54300
LOWEST	373.4	0
POINTS	373.4	23300
LOWEST	473.2	0
POINTS	473.2	43800
LOWEST	181.2	0
POINTS	181.2	12400
LOWEST	471.2	0
POINTS	471.2	43600
LOWEST	512.1	0
POINTS	512.1	53800
LOWEST	565.4	0
POINTS	565.4	53300
LOWEST	698.2	0
POINTS	698.2	76000
LOWEST	113.2	0
POINTS	113.2	7400
LOWEST	324.1	0
POINTS	324.1	28200
LOWEST	218.2	0
POINTS	218.2	15200
LOWEST	334.2	0
POINTS	334.2	25600
LOWEST	301.2	0
POINTS	301.2	21300
LOWEST	210.2	0
POINTS	210.2	14600
LOWEST	196.2	0
POINTS	196.2	13500
LOWEST	203.2	0
POINTS	203.2	15200
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	173.2	0
POINTS	173.2	12800
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	313.2	0
POINTS	313.2	26000
LOWEST	198.2	0
POINTS	198.2	13700
LOWEST	405.2	0
POINTS	405.2	34000
LOWEST	198.2	0
POINTS	198.2	13700
LOWEST	325.2	0
POINTS	325.2	27100
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	607.2	0
POINTS	504.2	42700
LOWEST	488.98	0
POINTS	488.98	50000
LOWEST	524.98	0
POINTS	524.98	53800
LOWEST	292.26	0
POINTS	292.26	13000
LOWEST	333.1	0
POINTS	333.1	24400
LOWEST	357.4	0
POINTS	357.4	22100
LOWEST	228.2	0
POINTS	228.2	17200
LOWEST	322.4	0
POINTS	322.4	19500
LOWEST	286.1	0
POINTS	286.1	19200
LOWEST	377.2	0
POINTS	377.2	26900
LOWEST	475.8	0
POINTS	475.8	25800
LOWEST	377.71	0
POINTS	377.71	15300
LOWEST	257.26	0
POINTS	257.26	9700
LOWEST	310.28	0
POINTS	310.28	14400
LOWEST	328.6	0
POINTS	328.6	32200
LOWEST	440.96	0
POINTS	440.96	22300
LOWEST	178.2	0
POINTS	178.2	13200
LOWEST	512.1	0
POINTS	512.1	53800
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	213.2	0
POINTS	174.2	11900
LOWEST	123.21	0
POINTS	123.21	8100
LOWEST	203.2	0
POINTS	203.2	16500
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	338.21	0
POINTS	338.21	28200
LOWEST	205.2	0
POINTS	205.2	14200
LOWEST	213.2	0
LOWEST	252.4	0
POINTS	252.4	15500
LOWEST	274.56	0
POINTS	274.56	11900
LOWEST	148.2	0
POINTS	148.2	10000
LOWEST	507.6	0
POINTS	507.6	53800
LOWEST	149.2	0
POINTS	149.2	10000
LOWEST	292.2	0
POINTS	292.2	22300
LOWEST	281.6	0
POINTS	281.6	19200
LOWEST	175.2	0
POINTS	175.2	12000
LOWEST	274.56	0
POINTS	274.56	11900
LOWEST	213.2	0
POINTS	174.2	11900
LOWEST	148.2	0
POINTS	148.2	10000
LOWEST	149.2	0
POINTS	149.2	10000
LOWEST	76.2	0
POINTS	76.2	4600
LOWEST	178.2	0
POINTS	178.2	13200
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	278.2	0
POINTS	278.2	19600
LOWEST	128.2	0
POINTS	128.2	8500
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	356.99	0
POINTS	296.2	22600
LOWEST	213.2	0
POINTS	174.2	11900
LOWEST	68.98	0
POINTS	68.98	4100
LOWEST	179.2	0
POINTS	179.2	12300
LOWEST	324.98	0
POINTS	324.98	27100
LOWEST	395.2	0
POINTS	395.2	36300
LOWEST	196.2	0
POINTS	196.2	14600
LOWEST	281.2	0
POINTS	281.2	19800
LOWEST	391.1	0
POINTS	391.1	25600
LOWEST	174.82	0
POINTS	174.82	8900
LOWEST	68.98	0
POINTS	68.98	4100
LOWEST	68.98	0
POINTS	68.98	4100
LOWEST	109.2	0
POINTS	109.2	7100
LOWEST	369.98	0
POINTS	369.98	28500
LOWEST	292.2	0
POINTS	292.2	22300
LOWEST	147.2	0
POINTS	147.2	9900
LOWEST	279.2	0
POINTS	279.2	23100
LOWEST	221.2	0
POINTS	221.2	18000
LOWEST	184.2	0
POINTS	184.2	12600
LOWEST	218.2	0
POINTS	218.2	19500
LOWEST	585.2	0
POINTS	540.2	45800
LOWEST	213.2	0
POINTS	174.2	11900
LOWEST	448.2	0
POINTS	448.2	45700
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	103.2	0
POINTS	103.2	6600
LOWEST	168.2	0
POINTS	168.2	11500
LOWEST	138.56	0
POINTS	138.56	4500
LOWEST	169.2	0
POINTS	169.2	11500
LOWEST	234.2	0
POINTS	234.2	17600
LOWEST	181.2	0
POINTS	181.2	12400
LOWEST	394.2	0
POINTS	394.2	36200
LOWEST	513.1	0
POINTS	513.1	41400
LOWEST	140.2	0
POINTS	140.2	9400
LOWEST	127.1	0
POINTS	127.1	7400
LOWEST	163.2	0
POINTS	163.2	11100
LOWEST	153.2	0
POINTS	153.2	10300
LOWEST	224.2	0
POINTS	224.2	18300
LOWEST	291.2	0
POINTS	259.2	19600
LOWEST	193.2	0
POINTS	193.2	14400
LOWEST	373.2	0
POINTS	373.2	37800
LOWEST	549.86	0
POINTS	549.86	32900
LOWEST	58.2	0
POINTS	58.2	3300
LOWEST	196.2	0
POINTS	196.2	13500
LOWEST	180.2	0
POINTS	180.2	13300
LOWEST	449.2	0
POINTS	449.2	45800
LOWEST	394.2	0
POINTS	310.2	23700
LOWEST	251.21	0
POINTS	251.21	19000
LOWEST	471.2	0
POINTS	471.2	43600
LOWEST	259.06	0
POINTS	259.06	12300
LOWEST	284.2	0
POINTS	284.2	21600
LOWEST	318.2	0
POINTS	305.2	23300
LOWEST	267.2	0
POINTS	267.2	22000
LOWEST	231.2	0
POINTS	231.2	18900
LOWEST	479	0
POINTS	479	38000
LOWEST	223.2	0
POINTS	223.2	16800
LOWEST	298.2	0
POINTS	242.2	19900
LOWEST	203.2	0
POINTS	203.2	16500
LOWEST	453.4	0
POINTS	453.4	34300
LOWEST	118.1	0
POINTS	118.1	4900
LOWEST	412.1	0
POINTS	412.1	27800
LOWEST	512.1	0
POINTS	512.1	53800
LOWEST	386.98	0
POINTS	386.98	35600
LOWEST	155.2	0
POINTS	155.2	10500
POINTS	174.2	11900
LOWEST	334.2	0
POINTS	334.2	25600
LOWEST	140.2	0
POINTS	140.2	9400
LOWEST	549.1	0
POINTS	549.1	54900
LOWEST	119.2	0
POINTS	119.2	7800
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	302.2	0
POINTS	302.2	27500
LOWEST	439.2	0
POINTS	439.2	44800
LOWEST	199	0
LOWEST	540.1	0
POINTS	540.1	52400
LOWEST	288.98	0
POINTS	288.98	26200
LOWEST	364.96	0
POINTS	364.96	17100
LOWEST	76.2	0
POINTS	76.2	4600
LOWEST	211.98	0
POINTS	211.98	17200
LOWEST	163.1	0
POINTS	163.1	8200
LOWEST	124.82	0
POINTS	124.82	5200
LOWEST	70.2	0
POINTS	70.2	4200
LOWEST	128.2	0
POINTS	128.2	8500
LOWEST	221.2	0
POINTS	221.2	18000
LOWEST	371.1	0
POINTS	371.1	25500
LOWEST	348.2	0
POINTS	348.2	26800
LOWEST	213.2	0
POINTS	174.2	11900
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	109.2	0
POINTS	109.2	7100
LOWEST	231.2	0
POINTS	231.2	18900
LOWEST	334.2	0
POINTS	334.2	25600
LOWEST	68.98	0
POINTS	68.98	4100
LOWEST	246.2	0
POINTS	246.2	20200
LOWEST	245.2	0
POINTS	245.2	22000
LOWEST	450.2	0
POINTS	450.2	38000
LOWEST	123.21	0
POINTS	123.21	8100
LOWEST	89.2	0
POINTS	89.2	5600
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	258.2	0
POINTS	258.2	19600
LOWEST	203.1	0
POINTS	203.1	11200
LOWEST	278.2	0
POINTS	278.2	19600
LOWEST	639.1	0
POINTS	639.1	64400
LOWEST	134.2	0
POINTS	134.2	8900
LOWEST	159.2	0
POINTS	159.2	10800
LOWEST	98.1	0
POINTS	98.1	6600
LOWEST	241.28	0
POINTS	241.28	9300
LOWEST	503.1	0
POINTS	503.1	50000
LOWEST	143.5	0
LOWEST	409.2	0
POINTS	409.2	37700
LOWEST	158.99	0
POINTS	158.99	3400
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	196.2	0
POINTS	196.2	13500
LOWEST	140.2	0
POINTS	140.2	9400
LOWEST	131.2	0
POINTS	131.2	8700
LOWEST	78.19	0
POINTS	78.19	4800
LOWEST	149.2	0
POINTS	149.2	10000
LOWEST	138.2	0
POINTS	138.2	9200
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	313.46	0
POINTS	313.46	15500
LOWEST	231.2	0
POINTS	231.2	18900
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	196.2	0
POINTS	196.2	14600
LOWEST	463.6	0
POINTS	463.6	36800
LOWEST	331.58	0
POINTS	331.58	21300
LOWEST	205.2	0
POINTS	205.2	15300
LOWEST	398.1	0
POINTS	398.1	36400
LOWEST	341.16	0
POINTS	341.16	16000
LOWEST	428.4	0
POINTS	428.4	29600
LOWEST	267.1	0
POINTS	267.1	17800
LOWEST	254.2	0
POINTS	254.2	20900
LOWEST	83.2	0
POINTS	83.2	5200
LOWEST	183.2	0
POINTS	183.2	14700
LOWEST	124.46	0
POINTS	124.46	4900
LOWEST	98.1	0
POINTS	98.1	6600
LOWEST	138.2	0
POINTS	138.2	9200
LOWEST	153.7	0
POINTS	153.7	10500
LOWEST	119.2	0
POINTS	119.2	7800
LOWEST	245.2	0
POINTS	245.2	22000
LOWEST	356.99	0
POINTS	296.2	22600
LOWEST	231.2	0
POINTS	231.2	17400
LOWEST	302.2	0
POINTS	302.2	27500
LOWEST	248.82	0
POINTS	248.82	14400
LOWEST	238.4	0
POINTS	238.4	14600
LOWEST	128.2	0
POINTS	128.2	8500
LOWEST	129.82	0
POINTS	129.82	5600
LOWEST	295.1	0
POINTS	295.1	17900
LOWEST	89.2	0
POINTS	89.2	5600
LOWEST	291.2	0
POINTS	259.2	19600
LOWEST	308.1	0
POINTS	308.1	26700
LOWEST	242.2	0
POINTS	242.2	16900
LOWEST	281.1	0
POINTS	281.1	18800
LOWEST	335.6	0
POINTS	335.6	20000
LOWEST	278.2	0
POINTS	278.2	19600
LOWEST	164.1	0
POINTS	164.1	8300
LOWEST	348.98	0
POINTS	348.98	26800
LOWEST	249.4	0
POINTS	249.4	14100
LOWEST	169.46	0
POINTS	169.46	8200
LOWEST	291.2	0
POINTS	268.2	20400
LOWEST	196.2	0
POINTS	196.2	13500
LOWEST	206.1	0
POINTS	206.1	12500
LOWEST	369.2	0
POINTS	318.2	26500
LOWEST	254.2	0
POINTS	254.2	20900
LOWEST	298.2	0
POINTS	298.2	27100
LOWEST	163.2	0
POINTS	163.2	11100
LOWEST	140.2	0
POINTS	140.2	9400
LOWEST	213.2	0
POINTS	213.2	14800
LOWEST	512.1	0
POINTS	512.1	53800
LOWEST	121.4	0
POINTS	121.4	6000
LOWEST	257.2	0
POINTS	257.2	19500
LOWEST	427.31	0
POINTS	427.31	25600
LOWEST	216.2	0
POINTS	216.2	17600
LOWEST	171.2	0
POINTS	171.2	11700
LOWEST	271.58	0
POINTS	271.58	16900
LOWEST	148.2	0
POINTS	148.2	10000
LOWEST	153.99	0
POINTS	153.99	3000
LOWEST	263.82	0
POINTS	263.82	16800
LOWEST	483.2	0
POINTS	483.2	49400
LOWEST	314.2	0
POINTS	290.2	22100
LOWEST	448.2	0
POINTS	448.2	45700
LOWEST	268.2	0
POINTS	218.2	15200
LOWEST	288.98	0
POINTS	288.98	26200
LOWEST	205.4	0
POINTS	205.4	12200
LOWEST	211.98	0
POINTS	211.98	17200
LOWEST	386.98	0
POINTS	386.98	35600
LOWEST	269	0
LOWEST	123.21	0
POINTS	123.21	8100
LOWEST	152	0
POINTS	152	5200
LOWEST	235.2	0
POINTS	235.2	16400
LOWEST	209.21	0
POINTS	209.21	15700
LOWEST	163.1	0
POINTS	163.1	8200
LOWEST	169.46	0
POINTS	169.46	8200
LOWEST	258.29	0
POINTS	258.29	14400
LOWEST	159	0
LOWEST	348.2	0
POINTS	348.2	26800
LOWEST	602.26	0
POINTS	602.26	40200
LOWEST	177.2	0
POINTS	177.2	12100
LOWEST	179.2	0
POINTS	179.2	12300
LOWEST	196.2	0
POINTS	196.2	13500
LOWEST	409.2	0
POINTS	409.2	37700
LOWEST	300.26	0
POINTS	300.26	14600
LOWEST	271.2	0
POINTS	271.2	24500
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	372.24	0
POINTS	372.24	20000
LOWEST	372.11	0
POINTS	372.11	21300
LOWEST	231.2	0
POINTS	231.2	17400
LOWEST	292.2	0
POINTS	292.2	20600
LOWEST	85.2	0
POINTS	85.2	5300
LOWEST	138.2	0
POINTS	138.2	9200
LOWEST	168.2	0
POINTS	168.2	11500
LOWEST	206.1	0
POINTS	206.1	13200
LOWEST	410.26	0
POINTS	410.26	20400
LOWEST	363.99	0
POINTS	363.99	18600
LOWEST	170.46	0
POINTS	170.46	8300
LOWEST	456.26	0
POINTS	456.26	23300
LOWEST	256.6	0
POINTS	256.6	16000
LOWEST	674.1	0
POINTS	674.1	66500
LOWEST	246.79	0
POINTS	246.79	14700
LOWEST	113.2	0
POINTS	113.2	7400
LOWEST	455.06	0
POINTS	455.06	23200
LOWEST	148.2	0
POINTS	148.2	10000
LOWEST	233.31	0
POINTS	233.31	9300
LOWEST	546.96	0
POINTS	546.96	41400
LOWEST	260.1	0
POINTS	260.1	14000
LOWEST	299.2	0
POINTS	278.2	21200
LOWEST	319.2	0
POINTS	305.2	23300
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	289.2	0
POINTS	289.2	24000
LOWEST	130.26	0
POINTS	130.26	4000
LOWEST	405.4	0
POINTS	405.4	27700
LOWEST	512.1	0
POINTS	512.1	53800
LOWEST	633.6	0
POINTS	633.6	67200
LOWEST	234.2	0
POINTS	234.2	19200
LOWEST	471.2	0
POINTS	471.2	43600
LOWEST	527.1	0
POINTS	527.1	50600
LOWEST	268.2	0
POINTS	218.2	15200
LOWEST	209.46	0
POINTS	209.46	11200
LOWEST	394.96	0
POINTS	394.96	23800
LOWEST	419.98	0
POINTS	328.2	27400
LOWEST	278.2	0
POINTS	278.2	19600
LOWEST	406.2	0
POINTS	406.2	41300
LOWEST	515.06	0
POINTS	515.06	30800
LOWEST	164.19	0
POINTS	164.19	11200
LOWEST	138.2	0
POINTS	138.2	9200
LOWEST	163.2	0
POINTS	163.2	11100
LOWEST	309.11	0
POINTS	309.11	16900
LOWEST	242.2	0
POINTS	242.2	16900
LOWEST	406.96	0
POINTS	406.96	24900
LOWEST	128.2	0
POINTS	128.2	8500
LOWEST	40.2	0
POINTS	40.2	2000
LOWEST	414.96	0
POINTS	414.96	26700
LOWEST	169.46	0
POINTS	169.46	8200
LOWEST	257.2	0
POINTS	257.2	19500
LOWEST	273.89	0
POINTS	273.89	16800
LOWEST	414.98	0
POINTS	414.98	34900
LOWEST	513.86	0
POINTS	513.86	29900
LOWEST	163.2	0
POINTS	163.2	11100
LOWEST	113.1	0
POINTS	113.1	7700
LOWEST	512.1	0
POINTS	512.1	53800
LOWEST	314.2	0
POINTS	314.2	28600
LOWEST	443.2	0
POINTS	443.2	45200
LOWEST	416.46	0
POINTS	416.46	25500
LOWEST	183.2	0
POINTS	183.2	14700
LOWEST	309.96	0
POINTS	309.96	14100
LOWEST	353.06	0
POINTS	353.06	18200
LOWEST	113.2	0
POINTS	113.2	7400
LOWEST	369.2	0
POINTS	318.2	26500
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	298.2	0
POINTS	298.2	27100
LOWEST	177.2	0
POINTS	177.2	12100
LOWEST	325.87	0
POINTS	325.87	17800
LOWEST	239.96	0
POINTS	239.96	12500
LOWEST	205.2	0
POINTS	205.2	15300
LOWEST	333.76	0
POINTS	333.76	17200
LOWEST	234.2	0
POINTS	234.2	19200
LOWEST	319.98	0
POINTS	300.2	22900
LOWEST	108.6	0
POINTS	108.6	7700
LOWEST	169.2	0
POINTS	169.2	11500
LOWEST	357.46	0
POINTS	357.46	18800
LOWEST	229.1	0
POINTS	229.1	17500
LOWEST	291.2	0
POINTS	268.2	20400
LOWEST	216.2	0
POINTS	216.2	17600
LOWEST	296.31	0
POINTS	296.31	14000
LOWEST	133.2	0
POINTS	133.2	8900
LOWEST	128.7	0
POINTS	128.7	8900
LOWEST	252.98	0
POINTS	252.98	19200
LOWEST	282.46	0
POINTS	282.46	13200
LOWEST	506.1	0
POINTS	506.1	40300
LOWEST	138.2	0
POINTS	138.2	9200
LOWEST	168.2	0
POINTS	168.2	11500
LOWEST	368.96	0
POINTS	368.96	20000
LOWEST	471.2	0
POINTS	471.2	43600
LOWEST	319.2	0
POINTS	305.2	23300
LOWEST	204	0
POINTS	204	8900
LOWEST	215.76	0
POINTS	215.76	6900
LOWEST	161.2	0
POINTS	161.2	10900
LOWEST	448.2	0
POINTS	448.2	45700
LOWEST	395.2	0
POINTS	395.2	36300
LOWEST	256.7	0
POINTS	256.7	19600
LOWEST	395.2	0
POINTS	395.2	33200
LOWEST	235.2	0
POINTS	235.2	16400
LOWEST	512.1	0
POINTS	512.1	53800
LOWEST	224.2	0
POINTS	224.2	18300
LOWEST	292.2	0
POINTS	292.2	22300
LOWEST	164.19	0
POINTS	164.19	11200
LOWEST	377.2	0
POINTS	377.2	26900
LOWEST	419.98	0
POINTS	328.2	27400
LOWEST	231.2	0
POINTS	231.2	18900
LOWEST	209.21	0
POINTS	209.21	15700
LOWEST	234.2	0
POINTS	234.2	17600
LOWEST	378.98	0
POINTS	378.98	38400
LOWEST	279.2	0
POINTS	279.2	23100
LOWEST	524.98	0
POINTS	464.2	39200
LOWEST	247.2	0
POINTS	247.2	17300
LOWEST	249.2	0
POINTS	249.2	18800
LOWEST	225.2	0
POINTS	225.2	18400
LOWEST	538.2	0
POINTS	538.2	55200
LOWEST	514.2	0
POINTS	514.2	52700
LOWEST	358.2	0
POINTS	358.2	30000
LOWEST	394.98	0
POINTS	394.98	40100
LOWEST	301.2	0
POINTS	301.2	21300
LOWEST	148.2	0
POINTS	148.2	10000
LOWEST	109.2	0
POINTS	109.2	7100
LOWEST	198.2	0
POINTS	198.2	13700
LOWEST	133.2	0
POINTS	133.2	8900
LOWEST	258.1	0
POINTS	258.1	17100
LOWEST	314.1	0
POINTS	314.1	21200
LOWEST	159.2	0
POINTS	159.2	10800
LOWEST	358.2	0
POINTS	358.2	30000
LOWEST	298.2	0
POINTS	298.2	22800
LOWEST	161.2	0
POINTS	161.2	10900
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	315.48	0
POINTS	304.7	23600
LOWEST	463.2	0
POINTS	463.2	42800
LOWEST	651.1	0
POINTS	651.1	64000
LOWEST	229.2	0
POINTS	229.2	17200
LOWEST	318.2	0
POINTS	305.2	23300
LOWEST	281.2	0
POINTS	281.2	19800
LOWEST	98.2	0
POINTS	98.2	6300
LOWEST	198.2	0
POINTS	198.2	13700
LOWEST	617.1	0
POINTS	617.1	61000
LOWEST	274.56	0
POINTS	274.56	11900
LOWEST	133.2	0
POINTS	133.2	8900
LOWEST	334.98	0
POINTS	334.98	27900
LOWEST	292.2	0
POINTS	292.2	20600
LOWEST	319.98	0
POINTS	319.98	26600
LOWEST	394.2	0
POINTS	310.2	23700
LOWEST	268.98	0
POINTS	268.98	24300
LOWEST	228.2	0
POINTS	228.2	17200
LOWEST	324.98	0
POINTS	324.98	27100
LOWEST	168.2	0
POINTS	168.2	11500
LOWEST	298.2	0
POINTS	242.2	19900
LOWEST	193.2	0
POINTS	193.2	14400
